underlying_symbol,underlying_key,underlying_type
SENSEX,BSE_INDEX|SENSEX,INDEX
IRCTC,NSE_EQ|INE335Y01020,EQUITY
ZINC,NSE_COM|122978,COM
IRB,NSE_EQ|INE821I01022,EQUITY
IRFC,NSE_EQ|INE053F01010,EQUITY
LAURUSLABS,NSE_EQ|INE947Q01028,EQUITY
ZINC,NSE_COM|122477,COM
LICHSGFIN,NSE_EQ|INE115A01026,EQUITY
NBCC,NSE_EQ|INE095N01031,EQUITY
BRITANNIA,NSE_EQ|INE216A01030,EQUITY
NCC,NSE_EQ|INE868B01028,EQUITY
APOLLOHOSP,NSE_EQ|INE437A01024,EQUITY
MGL,NSE_EQ|INE002S01010,EQUITY
SILVER,MCX_FO|439488,COM
TITAGARH,NSE_EQ|INE615H01020,EQUITY
MFSL,NSE_EQ|INE180A01020,EQUITY
NESTLEIND,NSE_EQ|INE239A01024,EQUITY
APLAPOLLO,NSE_EQ|INE702C01027,EQUITY
INDHOTEL,NSE_EQ|INE053A01029,EQUITY
SHRIRAMFIN,NSE_EQ|INE721A01047,EQUITY
MOTHERSON,NSE_EQ|INE775A01035,EQUITY
IEX,NSE_EQ|INE022Q01020,EQUITY
CRUDEOIL,NSE_COM|121829,COM
INDIANB,NSE_EQ|INE562A01011,EQUITY
APOLLOTYRE,NSE_EQ|INE438A01022,EQUITY
CRUDEOILM,MCX_FO|443450,COM
TATACONSUM,NSE_EQ|INE192A01025,EQUITY
TATAELXSI,NSE_EQ|INE670A01012,EQUITY
SIEMENS,NSE_EQ|INE003A01024,EQUITY
TATAMOTORS,NSE_EQ|INE155A01022,EQUITY
PNBHOUSING,NSE_EQ|INE572E01012,EQUITY
HINDCOPPER,NSE_EQ|INE531E01026,EQUITY
M&MFIN,NSE_EQ|INE774D01024,EQUITY
POWERGRID,NSE_EQ|INE752E01010,EQUITY
PATANJALI,NSE_EQ|INE619A01035,EQUITY
PAYTM,NSE_EQ|INE982J01020,EQUITY
IREDA,NSE_EQ|INE202E01016,EQUITY
HDFCAMC,NSE_EQ|INE127D01025,EQUITY
PEL,NSE_EQ|INE140A01024,EQUITY
CAMS,NSE_EQ|INE596I01012,EQUITY
NATGASMINI,MCX_FO|444206,COM
NATURALGAS,MCX_FO|444205,COM
ITC,NSE_EQ|INE154A01025,EQUITY
IGL,NSE_EQ|INE203G01027,EQUITY
COPPER,MCX_FO|448155,COM
IIFL,NSE_EQ|INE530B01024,EQUITY
SHREECEM,NSE_EQ|INE070A01015,EQUITY
